,App id,Display name of the application,Description,Audio,Creative Arts,Environment,Fun,Game,Language,Logic,Miscellaneous,Personality,Puzzle,Quest,Quiz,STEM,Story,Trivia,Utility,Values,Video,Wellness,World
0,1,Camera,The 2 Megapixel camera captures sweet moments of kids playing with Miko 3! The timer functionality lets the child record one minute long videos & take wonderful pictures as well!,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,2,Moments,A digital scrapbook of sweet memories! Moments showcases a gallery of all the photos and videos captured by the child through the camera on Miko.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2,3,Fight Viruses,"The Fight Viruses app is a 10-level innovative match-up game. It teaches kids about health, sanitisation & cleanliness. It also teaches best practices & precautionary measures one should take against virus infections.",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,4,Flag-a-thon!,"Teaching kids about flags was never this easy! With more than 200 flags in our kitty, your child is sure to learn about our global community in the most fun way!",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
4,5,Backpacking!,"Enjoy the American experience with our travel app! Let your child roam around United States without even leaving the house! The app features two alien friends, Zippy & Tubby who act as tourist guides for your little explorer.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,6,Wild Jingle,Entertain your child with animal sounds! This app comprises of various animal sounds which will help your child in understanding our fellow earthlings in a much better way.,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,8,Ting Ting Tales,"A collection of digital comic books with sounds and pictures that enhance the whole story telling experience! Teach your kids good morals, values, ethics & kindness through Ting Ting Tales. This can be a great bedtime routine for your little one!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
7,9,Mikojis,"A robot with feelings is a rare sight! With our Mikojis app, Miko expresses all its emotions through the cutest emojis. Miko can go crazy! It can blush, snore, smirk & yawn too. There are 18 Mikojis through which Miko interacts with the child's ever-changing moods!",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8,10,Miko Moves ,Who knew learning geometric shapes can be this fun? All you have to do is place Miko 3 on the floor and open the app. We are sure that your child will not only have a great time watching Miko move but also ace in learning geometric shapes.,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
9,11,Quizzard,"A quizzical way of teaching kids is here! In this game, Miko asks questions with 4 answer options to choose from. The child has to select the correct answer to move ahead in the game. With levels such as Easy, Medium & Hard, this game is suitable for all ages!",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
10,12,Tic Tac Toe,XOXO! This game gives a modern twist to its classic counterpart with introduction of themes related to magic and aliens! Watch your little one improve their logical thinking and problem solving skills through Tic Tac Toe!,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11,13,Dance Master,Welcome to one of our funnest talents! Play any song on your phone/device & open this app. Miko detects the changing beat of the song and dances with the coolest moves! You will also find preset dance routines for your child to groove to! Party On!,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,14,Puzzle Time,Help improve your child's image recognition and hand-eye coordination skill with puzzles! It gets your child to unscramble an image from upto 30 different pieces into 1 recognizable image! Scramble & Unscramble dozens of images with Puzzle Time!,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
13,15,Spell Master,"Spellings can be very challenging. However, Spell Master makes learning super fun! It teaches spellings in a quizzical manner to keep the child engaged and entertained! Categorized into Beginner, Intermediate and Advanced, this game caters to all!",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
14,16,Da Vinci Kids,"Imagine a personal TV curated specially for your little one! The app plays award-winning tv shows & games for kids covering topics such as science, nature, history, art, technology, social-emotional learning etc. With 13000+ hours of educational videos & 200+ games, your kid is sure to learn great things while having the best time!",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
15,17,Da Vinci's Games,"Help build your child's problem solving, logical reasoning & memorizing skills at an early age! This app offers over 50 age-appropriate & educational games covering curriculum subjects such as science, maths, history etc. to ensure education is super engaging & fun!",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
16,18,Da Vinci's Shows,"Help build your child's critical thinking & creative skills in the most entertaining way! This app plays award-winning tv shows & documentaries for kids covering topics such as science, nature, history, art, technology, social-emotional learning etc. With 13000+ hours of unique shows, your kid is sure to learn great things while having the best time!",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
17,19,Marvellous Makes,Who doesn't love an arts & crafts project! Enjoy the art of creating with tutorial videos that guide your kid through a step by step process in a simple & understandable manner! Let's get creative!,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,20,Operation Ouch,Meet Real-life Doctors Chris & Xand as they take kids on a scientific journey of how the human body works! A show that is both fun & educational for your little one!,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
19,21,Kids Tangram,Help improve your child's visuospatial skills with our engrossing puzzle game! This game has two adorable characters that share food through projectile motion of the movable pieces of the puzzle!,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
20,22,Kidlo Stories,"Bond with your kids with this award winning story-telling app! The app comes with a ton of exciting stories such as fairytales, Aesop's fables, bedtime stories, moral & ethic learning stories & a lot more!",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
21,26,Start Smart,"Start smart is a new-age classroom for beginners, with colorful images, animations, sounds, music & voice narration! This app offers over 275 educational games, covers English, Math, Science & Geography in a super interesting & fun way and lays the perfect learning foundation for your little one!",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
22,27,Brain Buzz,"Enter a classroom filled with colorful images, animations, sounds, music & voice narration! Brain Buzz is designed to bring out the inner Einstein out of your little one. Over 290 educational games, covering classroom subjects such as English, Math, Science & Geography will make learning super interesting & fun!",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
23,28,Coding School,"We are living in a highly technological world! Introduce your kids to the world of coding with our Google award winning app! With over 1000 levels, this app teaches the basics of programming through creative & interesting games to ensure fun & effective learning!",0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
24,29,Coloring Club,"An artist lives a 1000 lives! Painting can be a very soothing & calming activity for kids! This app has 700 pages with coloring themes such as magic, monsters, glitter, animation & many more!",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
25,30,Cosmic Kids Yoga,"Inculcate great habits in your kids such as practicing yoga & mindfulness! This app offers 28 different yoga videos with simple guided instructions for a healthier mind, body & soul.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
